deltaMs,gpsLat,gpsLon,speed,rawLatG,rawLongG
49,43.04652343,-89.4441168,0.510136347,0.007419735,0.036952063
214,43.04652343,-89.4441168,0.510136347,0.009046697,0.019357482
270,43.04652343,-89.4441168,0.510136347,0.022635464,0.026999258
328,43.04652343,-89.4441168,0.510136347,0.014281685,0.024265682
389,43.04652343,-89.4441168,0.510136347,0.019738022,0.021555148
445,43.04652343,-89.4441168,0.510136347,0.004412471,0.026190069
500,43.04652343,-89.4441168,0.510136347,0.012455722,0.032515876
557,43.04652343,-89.4441168,0.510136347,0.006474938,0.012616154
619,43.04652343,-89.4441168,0.510136347,0.011725367,0.012299544
676,43.04652343,-89.4441168,0.510136347,0.006380063,0.020822635
735,43.04652343,-89.4441168,0.306081808,0.016270056,0.021494653
793,43.04652343,-89.4441168,0.306081808,0.014706478,0.015392966
850,43.04652343,-89.4441168,0.306081808,0.010661881,0.02414324
910,43.04652343,-89.4441168,0.306081808,0.02436897,0.030944912
970,43.04652343,-89.4441168,0.306081808,-0.02077433,0.017413557
1029,43.04652343,-89.4441168,0.306081808,0.02076954,0.03427501
1085,43.04652343,-89.4441168,0.306081808,0.026721487,0.022644544
1142,43.04652343,-89.4441168,0.306081808,-0.020132177,0.07238458
1200,43.04652343,-89.4441168,0.306081808,-0.001817688,0.04237176
1261,43.04652343,-89.4441168,0.306081808,-0.002377465,-0.006346379
1323,43.04652343,-89.4441168,0.306081808,0.018548625,0.02740492
1380,43.04652343,-89.4441168,0.306081808,0.029813588,0.05428797
1435,43.04652343,-89.4441168,0.306081808,0.005997477,0.09077484
1494,43.04652343,-89.4441168,0.306081808,-0.010952077,0.08690911
1553,43.04652343,-89.4441168,0.306081808,0.021987045,0.11243443
1613,43.04652343,-89.4441168,0.306081808,0.010635878,0.1196703
1673,43.04652343,-89.4441168,0.306081808,0.008239588,0.12711656
1729,43.04652343,-89.4441168,0.183649085,-9.73E-04,0.10539249
1786,43.04652343,-89.4441168,0.183649085,0.007660903,0.101582244
1843,43.04652343,-89.4441168,0.183649085,0.011807147,0.10827555
1902,43.04652343,-89.4441168,0.183649085,0.025340421,0.11345723
1960,43.04652343,-89.4441168,0.183649085,0.029085305,0.11219088
2017,43.04652343,-89.4441168,0.183649085,0.015310419,0.1263826
2074,43.04652343,-89.4441168,0.183649085,-0.006864107,0.10758663
2130,43.04652343,-89.4441168,0.183649085,-0.005436945,0.14335755
2186,43.04652343,-89.4441168,0.183649085,0.001985463,0.18202393
2244,43.04652343,-89.4441168,0.183649085,0.007745624,0.17032608
2304,43.04652343,-89.4441168,0.183649085,-0.009932724,0.1552805
2359,43.04652343,-89.4441168,0.183649085,-0.01830097,0.16657774
2417,43.04652343,-89.4441168,0.183649085,0.019281909,0.16134332
2473,43.04652343,-89.4441168,0.183649085,-0.0174523,0.14198814
2531,43.04652343,-89.4441168,0.183649085,0.049882997,0.1535694
2590,43.04652343,-89.4441168,0.183649085,0.029303266,0.16594563
2651,43.04652343,-89.4441168,0.183649085,0.04020388,0.12990177
2709,43.04652343,-89.4441168,0.183649085,0.031920977,0.09554292
2768,43.04652343,-89.4441168,0.110189451,0.026474493,0.119221576
2826,43.04652343,-89.4441168,0.110189451,0.034360457,0.106868744
2882,43.04652343,-89.4441168,0.110189451,-0.007702747,0.14568527
2941,43.04652343,-89.4441168,0.110189451,-0.004265299,0.127434
3001,43.04652343,-89.4441168,0.110189451,-0.009350066,0.093933776
3061,43.04652343,-89.4441168,0.110189451,0.038458373,0.07689581
3118,43.04652343,-89.4441168,0.110189451,0.04763114,0.1265529
3174,43.04652343,-89.4441168,0.110189451,0.07629252,0.10023579
3233,43.04652343,-89.4441168,0.110189451,0.020712426,0.11494478
3296,43.04652343,-89.4441168,0.110189451,3.08E-04,0.11114571
3355,43.04652343,-89.4441168,0.110189451,0.005693994,0.11008039
3413,43.04652343,-89.4441168,0.110189451,-0.008660199,0.10119563
